model,instruction_type,condition,replicate,budget,k,provider,model_id,role,run_id,presentation_seed,status,ok,stop_reason,input_tokens,output_tokens,error
gpt_terra,quality,k_free,6,free,NA,openai,gpt-5.6-terra,primary,run_066,2092,success,TRUE,completed,3688,1226,NA
gpt_terra,quality,k_free,7,free,NA,openai,gpt-5.6-terra,primary,run_067,2093,success,TRUE,completed,3688,1294,NA
gpt_terra,quality,k_free,8,free,NA,openai,gpt-5.6-terra,primary,run_068,2094,success,TRUE,completed,3688,1301,NA
gpt_terra,quality,k_free,9,free,NA,openai,gpt-5.6-terra,primary,run_069,2095,success,TRUE,completed,3688,1228,NA
gpt_terra,quality,k_free,10,free,NA,openai,gpt-5.6-terra,primary,run_070,2096,success,TRUE,completed,3688,1359,NA
gpt_terra,quality,k_free,11,free,NA,openai,gpt-5.6-terra,primary,run_071,2097,success,TRUE,completed,3688,1175,NA
gpt_terra,quality,k_free,12,free,NA,openai,gpt-5.6-terra,primary,run_072,2098,success,TRUE,completed,3688,1038,NA
gpt_terra,quality,k_free,13,free,NA,openai,gpt-5.6-terra,primary,run_073,2099,success,TRUE,completed,3688,1379,NA
gpt_terra,quality,k_free,14,free,NA,openai,gpt-5.6-terra,primary,run_074,2100,success,TRUE,completed,3688,1434,NA
gpt_terra,quality,k_free,15,free,NA,openai,gpt-5.6-terra,primary,run_075,2101,success,TRUE,completed,3688,1176,NA
gpt_terra,quality,k_free,16,free,NA,openai,gpt-5.6-terra,primary,run_076,2102,success,TRUE,completed,3688,1205,NA
gpt_terra,quality,k_free,17,free,NA,openai,gpt-5.6-terra,primary,run_077,2103,success,TRUE,completed,3688,1306,NA
gpt_terra,quality,k_free,18,free,NA,openai,gpt-5.6-terra,primary,run_078,2104,success,TRUE,completed,3688,1147,NA
gpt_terra,quality,k_free,19,free,NA,openai,gpt-5.6-terra,primary,run_079,2105,success,TRUE,completed,3688,1336,NA
gpt_terra,quality,k_free,20,free,NA,openai,gpt-5.6-terra,primary,run_080,2106,success,TRUE,completed,3688,1286,NA
gpt_terra,quality,k_free,21,free,NA,openai,gpt-5.6-terra,primary,run_081,2107,success,TRUE,completed,3688,1369,NA
gpt_terra,quality,k_free,22,free,NA,openai,gpt-5.6-terra,primary,run_082,2108,success,TRUE,completed,3688,1556,NA
gpt_terra,quality,k_free,23,free,NA,openai,gpt-5.6-terra,primary,run_083,2109,success,TRUE,completed,3688,1206,NA
gpt_terra,quality,k_free,24,free,NA,openai,gpt-5.6-terra,primary,run_084,2110,success,TRUE,completed,3688,1385,NA
gpt_terra,quality,k_free,25,free,NA,openai,gpt-5.6-terra,primary,run_085,2111,success,TRUE,completed,3688,1138,NA
gpt_terra,quality,k_free,26,free,NA,openai,gpt-5.6-terra,primary,run_086,2112,success,TRUE,completed,3688,1212,NA
gpt_terra,quality,k_free,27,free,NA,openai,gpt-5.6-terra,primary,run_087,2113,success,TRUE,completed,3688,1422,NA
gpt_terra,quality,k_free,28,free,NA,openai,gpt-5.6-terra,primary,run_088,2114,success,TRUE,completed,3688,1516,NA
gpt_terra,quality,k_free,29,free,NA,openai,gpt-5.6-terra,primary,run_089,2115,success,TRUE,completed,3688,1357,NA
gpt_terra,quality,k_free,30,free,NA,openai,gpt-5.6-terra,primary,run_090,2116,success,TRUE,completed,3688,1105,NA
gpt_terra,quality,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,run_091,2117,success,TRUE,completed,3656,1196,NA
gpt_terra,quality,k_fixed,2,fixed,15,openai,gpt-5.6-terra,primary,run_092,2118,success,TRUE,completed,3656,1210,NA
gpt_terra,quality,k_fixed,3,fixed,15,openai,gpt-5.6-terra,primary,run_093,2119,success,TRUE,completed,3656,1165,NA
gpt_terra,quality,k_fixed,4,fixed,15,openai,gpt-5.6-terra,primary,run_094,2120,success,TRUE,completed,3656,1225,NA
gpt_terra,quality,k_fixed,5,fixed,15,openai,gpt-5.6-terra,primary,run_095,2121,success,TRUE,completed,3656,1034,NA
gpt_terra,quality,k_fixed,6,fixed,15,openai,gpt-5.6-terra,primary,run_096,2122,success,TRUE,completed,3656,1047,NA
gpt_terra,quality,k_fixed,7,fixed,15,openai,gpt-5.6-terra,primary,run_097,2123,success,TRUE,completed,3656,1183,NA
gpt_terra,quality,k_fixed,8,fixed,15,openai,gpt-5.6-terra,primary,run_098,2124,success,TRUE,completed,3656,1017,NA
gpt_terra,quality,k_fixed,9,fixed,15,openai,gpt-5.6-terra,primary,run_099,2125,success,TRUE,completed,3656,1184,NA
gpt_terra,quality,k_fixed,10,fixed,15,openai,gpt-5.6-terra,primary,run_100,2126,success,TRUE,completed,3656,1208,NA
gpt_terra,quality,k_fixed,11,fixed,15,openai,gpt-5.6-terra,primary,run_101,2127,success,TRUE,completed,3656,1016,NA
gpt_terra,quality,k_fixed,12,fixed,15,openai,gpt-5.6-terra,primary,run_102,2128,success,TRUE,completed,3656,998,NA
gpt_terra,quality,k_fixed,13,fixed,15,openai,gpt-5.6-terra,primary,run_103,2129,success,TRUE,completed,3656,1170,NA
gpt_terra,quality,k_fixed,14,fixed,15,openai,gpt-5.6-terra,primary,run_104,2130,success,TRUE,completed,3656,1269,NA
gpt_terra,quality,k_fixed,15,fixed,15,openai,gpt-5.6-terra,primary,run_105,2131,success,TRUE,completed,3656,1168,NA
gpt_terra,quality,k_fixed,16,fixed,15,openai,gpt-5.6-terra,primary,run_106,2132,success,TRUE,completed,3656,1398,NA
gpt_terra,quality,k_fixed,17,fixed,15,openai,gpt-5.6-terra,primary,run_107,2133,success,TRUE,completed,3656,1226,NA
gpt_terra,quality,k_fixed,18,fixed,15,openai,gpt-5.6-terra,primary,run_108,2134,success,TRUE,completed,3656,1162,NA
gpt_terra,quality,k_fixed,19,fixed,15,openai,gpt-5.6-terra,primary,run_109,2135,success,TRUE,completed,3656,1184,NA
gpt_terra,quality,k_fixed,20,fixed,15,openai,gpt-5.6-terra,primary,run_110,2136,success,TRUE,completed,3656,1193,NA
gpt_terra,quality,k_fixed,21,fixed,15,openai,gpt-5.6-terra,primary,run_111,2137,success,TRUE,completed,3656,997,NA
gpt_terra,quality,k_fixed,22,fixed,15,openai,gpt-5.6-terra,primary,run_112,2138,success,TRUE,completed,3656,1367,NA
