model,instruction_type,condition,replicate,budget,k,provider,model_id,role,run_id,presentation_seed,status,ok,stop_reason,input_tokens,output_tokens,error
gpt_terra,basic,k_fixed,62,fixed,15,openai,gpt-5.6-terra,primary,run_062,10002088,success,TRUE,completed,3626,1176,NA
gpt_terra,basic,k_fixed,63,fixed,15,openai,gpt-5.6-terra,primary,run_063,10002089,success,TRUE,completed,3626,1012,NA
gpt_terra,basic,k_fixed,64,fixed,15,openai,gpt-5.6-terra,primary,run_064,10002090,success,TRUE,completed,3626,1159,NA
gpt_terra,basic,k_fixed,65,fixed,15,openai,gpt-5.6-terra,primary,run_065,10002091,success,TRUE,completed,3626,1064,NA
gpt_terra,basic,k_fixed,66,fixed,15,openai,gpt-5.6-terra,primary,run_066,10002092,success,TRUE,completed,3626,1030,NA
gpt_terra,basic,k_fixed,67,fixed,15,openai,gpt-5.6-terra,primary,run_067,10002093,success,TRUE,completed,3626,971,NA
gpt_terra,basic,k_fixed,68,fixed,15,openai,gpt-5.6-terra,primary,run_068,10002094,success,TRUE,completed,3626,957,NA
gpt_terra,basic,k_fixed,69,fixed,15,openai,gpt-5.6-terra,primary,run_069,10002095,success,TRUE,completed,3626,1023,NA
gpt_terra,basic,k_fixed,70,fixed,15,openai,gpt-5.6-terra,primary,run_070,10002096,success,TRUE,completed,3626,1001,NA
gpt_terra,basic,k_fixed,71,fixed,15,openai,gpt-5.6-terra,primary,run_071,10002097,success,TRUE,completed,3626,1173,NA
gpt_terra,basic,k_fixed,72,fixed,15,openai,gpt-5.6-terra,primary,run_072,10002098,success,TRUE,completed,3626,991,NA
gpt_terra,basic,k_fixed,73,fixed,15,openai,gpt-5.6-terra,primary,run_073,10002099,success,TRUE,completed,3626,1048,NA
gpt_terra,basic,k_fixed,74,fixed,15,openai,gpt-5.6-terra,primary,run_074,10002100,success,TRUE,completed,3626,1012,NA
gpt_terra,basic,k_fixed,75,fixed,15,openai,gpt-5.6-terra,primary,run_075,10002101,success,TRUE,completed,3626,1019,NA
gpt_terra,basic,k_fixed,76,fixed,15,openai,gpt-5.6-terra,primary,run_076,10002102,success,TRUE,completed,3626,1186,NA
gpt_terra,basic,k_fixed,77,fixed,15,openai,gpt-5.6-terra,primary,run_077,10002103,success,TRUE,completed,3626,1065,NA
gpt_terra,basic,k_fixed,78,fixed,15,openai,gpt-5.6-terra,primary,run_078,10002104,success,TRUE,completed,3626,1009,NA
gpt_terra,basic,k_fixed,79,fixed,15,openai,gpt-5.6-terra,primary,run_079,10002105,success,TRUE,completed,3626,1009,NA
gpt_terra,basic,k_fixed,80,fixed,15,openai,gpt-5.6-terra,primary,run_080,10002106,success,TRUE,completed,3626,985,NA
gpt_terra,basic,k_fixed,81,fixed,15,openai,gpt-5.6-terra,primary,run_081,10002107,success,TRUE,completed,3626,1277,NA
gpt_terra,basic,k_fixed,82,fixed,15,openai,gpt-5.6-terra,primary,run_082,10002108,success,TRUE,completed,3626,1014,NA
gpt_terra,basic,k_fixed,83,fixed,15,openai,gpt-5.6-terra,primary,run_083,10002109,success,TRUE,completed,3626,1042,NA
gpt_terra,basic,k_fixed,84,fixed,15,openai,gpt-5.6-terra,primary,run_084,10002110,success,TRUE,completed,3626,1093,NA
gpt_terra,basic,k_fixed,85,fixed,15,openai,gpt-5.6-terra,primary,run_085,10002111,success,TRUE,completed,3626,1020,NA
gpt_terra,basic,k_fixed,86,fixed,15,openai,gpt-5.6-terra,primary,run_086,10002112,success,TRUE,completed,3626,957,NA
